"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jan 22 14:54:30 GMT 2023","Sun Jan 22 14:54:30 GMT 2023","307","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"passed","Sun Jan 22 14:54:27 GMT 2023","Sun Jan 22 14:54:27 GMT 2023","285","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"passed","Sun Jan 22 14:54:28 GMT 2023","Sun Jan 22 14:54:28 GMT 2023","177","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
"failed","Sun Jan 22 14:54:39 GMT 2023","Sun Jan 22 14:54:40 GMT 2023","1197","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
"passed","Sun Jan 22 14:54:28 GMT 2023","Sun Jan 22 14:54:28 GMT 2023","268","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"passed","Sun Jan 22 14:54:45 GMT 2023","Sun Jan 22 14:54:47 GMT 2023","2198","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"passed","Sun Jan 22 14:54:32 GMT 2023","Sun Jan 22 14:54:35 GMT 2023","3291","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
"passed","Sun Jan 22 14:54:27 GMT 2023","Sun Jan 22 14:54:28 GMT 2023","270","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"passed","Sun Jan 22 14:54:28 GMT 2023","Sun Jan 22 14:54:29 GMT 2023","175","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
"passed","Sun Jan 22 14:54:28 GMT 2023","Sun Jan 22 14:54:28 GMT 2023","189","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
"passed","Sun Jan 22 14:54:41 GMT 2023","Sun Jan 22 14:54:45 GMT 2023","4445","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
