"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 04 09:17:49 GMT 2022","Sun Sep 04 09:18:22 GMT 2022","33593","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"broken","Sun Sep 04 09:12:42 GMT 2022","Sun Sep 04 09:13:16 GMT 2022","33598","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
"failed","Sun Sep 04 09:11:32 GMT 2022","Sun Sep 04 09:11:32 GMT 2022","245","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"broken","Sun Sep 04 09:16:07 GMT 2022","Sun Sep 04 09:16:40 GMT 2022","33602","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
"failed","Sun Sep 04 09:11:26 GMT 2022","Sun Sep 04 09:11:26 GMT 2022","240","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
"failed","Sun Sep 04 09:11:19 GMT 2022","Sun Sep 04 09:11:19 GMT 2022","188","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"broken","Sun Sep 04 09:14:25 GMT 2022","Sun Sep 04 09:14:58 GMT 2022","33597","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
"failed","Sun Sep 04 09:11:28 GMT 2022","Sun Sep 04 09:11:28 GMT 2022","215","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"failed","Sun Sep 04 09:11:23 GMT 2022","Sun Sep 04 09:11:24 GMT 2022","208","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
"failed","Sun Sep 04 09:11:21 GMT 2022","Sun Sep 04 09:11:21 GMT 2022","248","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"failed","Sun Sep 04 09:11:30 GMT 2022","Sun Sep 04 09:11:30 GMT 2022","183","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
