"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 12:54:31 GMT 2022","Fri Sep 02 12:54:31 GMT 2022","150","Google Chrome","apitests.spec.js","","","","Put entry",""
"passed","Fri Sep 02 12:54:30 GMT 2022","Fri Sep 02 12:54:30 GMT 2022","232","Google Chrome","apitests.spec.js","","","","Ping site",""
"passed","Fri Sep 02 12:54:31 GMT 2022","Fri Sep 02 12:54:31 GMT 2022","164","Google Chrome","apitests.spec.js","","","","Patch entry",""
"failed","Fri Sep 02 12:54:36 GMT 2022","Fri Sep 02 12:54:36 GMT 2022","285","Google Chrome","ci_tests.spec.js","","","","Test_1",""
"passed","Fri Sep 02 12:54:31 GMT 2022","Fri Sep 02 12:54:31 GMT 2022","135","Google Chrome","apitests.spec.js","","","","Сreate a new entry",""
"failed","Fri Sep 02 12:54:33 GMT 2022","Fri Sep 02 12:54:33 GMT 2022","269","Google Chrome","apitests.spec.js","","","","Put entry faild",""
"failed","Fri Sep 02 12:54:38 GMT 2022","Fri Sep 02 12:54:39 GMT 2022","286","Google Chrome","ci_tests.spec.js","","","","Test_2",""
"passed","Fri Sep 02 12:54:31 GMT 2022","Fri Sep 02 12:54:31 GMT 2022","128","Google Chrome","apitests.spec.js","","","","Delete entry",""
"failed","Fri Sep 02 12:54:41 GMT 2022","Fri Sep 02 12:54:41 GMT 2022","291","Google Chrome","ci_tests.spec.js","","","","Test_3",""
"failed","Fri Sep 02 12:54:44 GMT 2022","Fri Sep 02 12:54:44 GMT 2022","304","Google Chrome","ci_tests.spec.js","","","","Test_4",""
"passed","Fri Sep 02 12:54:30 GMT 2022","Fri Sep 02 12:54:31 GMT 2022","165","Google Chrome","apitests.spec.js","","","","Add token",""
