"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 08 10:41:00 GMT 2022","Thu Sep 08 10:41:00 GMT 2022","142","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
"passed","Thu Sep 08 10:41:05 GMT 2022","Thu Sep 08 10:41:09 GMT 2022","4365","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
"passed","Thu Sep 08 10:41:25 GMT 2022","Thu Sep 08 10:41:27 GMT 2022","2660","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"passed","Thu Sep 08 10:41:00 GMT 2022","Thu Sep 08 10:41:00 GMT 2022","253","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"failed","Thu Sep 08 10:41:02 GMT 2022","Thu Sep 08 10:41:03 GMT 2022","254","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"passed","Thu Sep 08 10:41:00 GMT 2022","Thu Sep 08 10:41:01 GMT 2022","187","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"passed","Thu Sep 08 10:41:19 GMT 2022","Thu Sep 08 10:41:25 GMT 2022","5848","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
"passed","Thu Sep 08 10:41:01 GMT 2022","Thu Sep 08 10:41:01 GMT 2022","167","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
"passed","Thu Sep 08 10:41:00 GMT 2022","Thu Sep 08 10:41:00 GMT 2022","151","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
"passed","Thu Sep 08 10:41:00 GMT 2022","Thu Sep 08 10:41:00 GMT 2022","182","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"failed","Thu Sep 08 10:41:16 GMT 2022","Thu Sep 08 10:41:18 GMT 2022","2563","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
