"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 17:26:36 GMT 2022","Wed Oct 26 17:26:36 GMT 2022","186","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"passed","Wed Oct 26 17:26:36 GMT 2022","Wed Oct 26 17:26:36 GMT 2022","162","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
"passed","Wed Oct 26 17:26:36 GMT 2022","Wed Oct 26 17:26:37 GMT 2022","168","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
"failed","Wed Oct 26 17:26:38 GMT 2022","Wed Oct 26 17:26:38 GMT 2022","237","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"failed","Wed Oct 26 17:26:51 GMT 2022","Wed Oct 26 17:26:53 GMT 2022","1695","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
"passed","Wed Oct 26 17:26:54 GMT 2022","Wed Oct 26 17:26:58 GMT 2022","4468","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
"passed","Wed Oct 26 17:26:58 GMT 2022","Wed Oct 26 17:27:00 GMT 2022","2035","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"passed","Wed Oct 26 17:26:36 GMT 2022","Wed Oct 26 17:26:36 GMT 2022","229","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"passed","Wed Oct 26 17:26:36 GMT 2022","Wed Oct 26 17:26:36 GMT 2022","147","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"passed","Wed Oct 26 17:26:36 GMT 2022","Wed Oct 26 17:26:36 GMT 2022","176","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
"passed","Wed Oct 26 17:26:40 GMT 2022","Wed Oct 26 17:26:43 GMT 2022","3065","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
