"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 08 10:35:41 GMT 2022","Thu Sep 08 10:35:41 GMT 2022","99","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"passed","Thu Sep 08 10:35:39 GMT 2022","Thu Sep 08 10:35:39 GMT 2022","64","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"passed","Thu Sep 08 10:35:56 GMT 2022","Thu Sep 08 10:35:58 GMT 2022","2203","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"failed","Thu Sep 08 10:35:50 GMT 2022","Thu Sep 08 10:35:51 GMT 2022","1371","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
"passed","Thu Sep 08 10:35:52 GMT 2022","Thu Sep 08 10:35:56 GMT 2022","3996","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
"passed","Thu Sep 08 10:35:39 GMT 2022","Thu Sep 08 10:35:39 GMT 2022","144","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
"passed","Thu Sep 08 10:35:39 GMT 2022","Thu Sep 08 10:35:40 GMT 2022","71","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"passed","Thu Sep 08 10:35:39 GMT 2022","Thu Sep 08 10:35:39 GMT 2022","86","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"passed","Thu Sep 08 10:35:43 GMT 2022","Thu Sep 08 10:35:46 GMT 2022","3059","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
"passed","Thu Sep 08 10:35:40 GMT 2022","Thu Sep 08 10:35:40 GMT 2022","70","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
"passed","Thu Sep 08 10:35:39 GMT 2022","Thu Sep 08 10:35:39 GMT 2022","76","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
