"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 02 13:09:41 GMT 2022","Fri Sep 02 13:09:41 GMT 2022","37","chromium","apitests.spec.js","","","","Put entry",""
"failed","Fri Sep 02 13:09:42 GMT 2022","Fri Sep 02 13:09:42 GMT 2022","71","chromium","apitests.spec.js","","","","Put entry faild",""
"passed","Fri Sep 02 13:09:41 GMT 2022","Fri Sep 02 13:09:41 GMT 2022","35","chromium","apitests.spec.js","","","","Patch entry",""
"passed","Fri Sep 02 13:10:05 GMT 2022","Fri Sep 02 13:10:10 GMT 2022","4644","chromium","ci_tests.spec.js","","","","Test_3",""
"passed","Fri Sep 02 13:10:10 GMT 2022","Fri Sep 02 13:10:11 GMT 2022","1434","chromium","ci_tests.spec.js","","","","Test_4",""
"passed","Fri Sep 02 13:09:41 GMT 2022","Fri Sep 02 13:09:41 GMT 2022","128","chromium","apitests.spec.js","","","","Ping site",""
"passed","Fri Sep 02 13:09:43 GMT 2022","Fri Sep 02 13:09:45 GMT 2022","2209","chromium","ci_tests.spec.js","","","","Test_1",""
"failed","Fri Sep 02 13:09:58 GMT 2022","Fri Sep 02 13:10:05 GMT 2022","6424","chromium","ci_tests.spec.js","","","","Test_2",""
"passed","Fri Sep 02 13:09:41 GMT 2022","Fri Sep 02 13:09:41 GMT 2022","28","chromium","apitests.spec.js","","","","Сreate a new entry",""
"passed","Fri Sep 02 13:09:41 GMT 2022","Fri Sep 02 13:09:41 GMT 2022","72","chromium","apitests.spec.js","","","","Delete entry",""
"passed","Fri Sep 02 13:09:41 GMT 2022","Fri Sep 02 13:09:41 GMT 2022","38","chromium","apitests.spec.js","","","","Add token",""
