"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 08 10:47:43 GMT 2022","Thu Sep 08 10:47:47 GMT 2022","3846","Booking_UI","ui_tests/ui_tests.spec.js","","","","API Docs",""
"failed","Thu Sep 08 10:47:41 GMT 2022","Thu Sep 08 10:47:41 GMT 2022","89","Booking_API","api_test/api_tests.spec.js","","","","[bk-7] PUT/booking{id} - faild",""
"passed","Thu Sep 08 10:47:40 GMT 2022","Thu Sep 08 10:47:40 GMT 2022","65","Booking_API","api_test/api_tests.spec.js","","","","[bk-1] GET/ping",""
"passed","Thu Sep 08 10:47:40 GMT 2022","Thu Sep 08 10:47:40 GMT 2022","56","Booking_API","api_test/api_tests.spec.js","","","","[bk-6] DELETE/booking{id}",""
"passed","Thu Sep 08 10:47:40 GMT 2022","Thu Sep 08 10:47:40 GMT 2022","65","Booking_API","api_test/api_tests.spec.js","","","","[bk-2] POST/auth",""
"passed","Thu Sep 08 10:47:57 GMT 2022","Thu Sep 08 10:47:59 GMT 2022","1936","Booking_UI","ui_tests/ui_tests.spec.js","","","","Code #4",""
"failed","Thu Sep 08 10:47:51 GMT 2022","Thu Sep 08 10:47:53 GMT 2022","1529","Booking_UI","ui_tests/ui_tests.spec.js","","","","Buy Me a Tea And a Cake",""
"passed","Thu Sep 08 10:47:53 GMT 2022","Thu Sep 08 10:47:57 GMT 2022","3885","Booking_UI","ui_tests/ui_tests.spec.js","","","","Web site",""
"passed","Thu Sep 08 10:47:40 GMT 2022","Thu Sep 08 10:47:40 GMT 2022","56","Booking_API","api_test/api_tests.spec.js","","","","[bk-4] PUT/booking{id}",""
"passed","Thu Sep 08 10:47:40 GMT 2022","Thu Sep 08 10:47:40 GMT 2022","64","Booking_API","api_test/api_tests.spec.js","","","","[bk-5] PATCH/booking{id}",""
"passed","Thu Sep 08 10:47:40 GMT 2022","Thu Sep 08 10:47:40 GMT 2022","49","Booking_API","api_test/api_tests.spec.js","","","","[bk-3] POST/booking",""
